address,status,encoded_constructor_args,decoded_constructor_args
0x208cfec94d2ba8b8537da7a9bb361c6baad77272,decoded,000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000000f4d6574612041706573205368656c6c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055348454c4c000000000000000000000000000000000000000000000000000000,"{""name_"": ""Meta Apes Shell"", ""symbol_"": ""SHELL"", ""decimals_"": 18}"
0x22a681b2b57050ab42cb4a426d56a733c6ca859a,no_constructor,,
0x28199b96655d1280296c31353cd188e696506faa,decoded,0000000000000000000000005d5baba5e594b384cc422e4ab4542511a3979fa9,"{""tokenadmin"": ""0x5d5baba5e594b384cc422e4ab4542511a3979fa9""}"
0x7f19bf116b0f0a4af7d4464cbf584fe75a243fc9,no_constructor,,
0x7e5322704f37ccc4c40974b86669b4e1c8228ec8,no_constructor,,
0x14ac066ac2cd24cbde31f78659c11f13ab61e4e7,decoded,00000000000000000000000010ed43c718714eb63d5aa57b78b54704e256024e,"{""routerAddress"": ""0x10ed43c718714eb63d5aa57b78b54704e256024e""}"
0x18b4dddb5f93f483d4236679481350f0ead05ea5,decoded,0000000000000000000000000000000000000000000000000000000000000012000000000000000000000000276341c66ebfcbd34ed7efbcc4d60a3965f281b8,"{""decimals_"": 18, ""arhasyo"": ""0x276341c66ebfcbd34ed7efbcc4d60a3965f281b8""}"
0xc5a25e92e691635bdd6df2e904633dc3152360cd,decoded,000000000000000000000000a4314839e37c1d575710b2c6a98dcdad69351a60,"{""tokenOwner"": ""0xa4314839e37c1d575710b2c6a98dcdad69351a60""}"
0x4eb0bcccedcbb3ff5c13879d86bbc0f5b1579f1d,decoded,00000000000000000000000069c285f05c74c02552817a282217904764ff5470000000000000000000000000000000000000000000000000000000003b9aca00,"{""qrjnuww"": 603782043229710255299395782267900882436835202160, ""totalSupply_"": 1000000000}"
0xc7e9d15a2dc34d3a9f532b325396b8bf02f44fb8,no_constructor,,
0xfdb0fe3dd8f7e9a671f63b7e7db0935a955659ab,no_constructor,,
0xbd7afa932f59f0e451d57ba523ba379e7545a4b3,decoded,0000000000000000000000000413a927c22db90b91e961da94ef2cca966ef4cb00000000000000000000000055d398326f99059ff775485246999027b3197955,"{""dataAddr"": ""0x0413a927c22db90b91e961da94ef2cca966ef4cb"", ""tokenAddr"": ""0x55d398326f99059ff775485246999027b3197955""}"
0xae21bfe30aff40a66bc9a950d61c1a6b1c82ad2a,decoded,00000000000000000000000010ed43c718714eb63d5aa57b78b54704e256024e00000000000000000000000055d398326f99059ff775485246999027b31979550000000000000000000000007627db61182a45375914255c89ca733a76e19e6d,"{""_router"": ""0x10ed43c718714eb63d5aa57b78b54704e256024e"", ""_usdt"": ""0x55d398326f99059ff775485246999027b3197955"", ""_agentAddress"": ""0x7627db61182a45375914255c89ca733a76e19e6d""}"
0xd20ef93050c0943f74f5f8ff0cc97c74139d6437,no_constructor,,
0x208cfec94d2ba8b8537da7a9bb361c6baad77272,decoded,000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000000f4d6574612041706573205368656c6c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055348454c4c000000000000000000000000000000000000000000000000000000,"{""name_"": ""Meta Apes Shell"", ""symbol_"": ""SHELL"", ""decimals_"": 18}"
0x22a681b2b57050ab42cb4a426d56a733c6ca859a,no_constructor,,
0x28199b96655d1280296c31353cd188e696506faa,decoded,0000000000000000000000005d5baba5e594b384cc422e4ab4542511a3979fa9,"{""tokenadmin"": ""0x5d5baba5e594b384cc422e4ab4542511a3979fa9""}"
0x7f19bf116b0f0a4af7d4464cbf584fe75a243fc9,no_constructor,,
0x7e5322704f37ccc4c40974b86669b4e1c8228ec8,no_constructor,,
